"Arn","AttachmentCount","CreateDate","DefaultVersionId","Description","IsAttachable","Path","PermissionsBoundaryUsageCount","PolicyId","PolicyName","UpdateDate"
"arn:aws:iam::aws:policy/AmazonSSMDirectoryServiceAccess","0","3/15/19 12:44:38 PM","v1",,"True","/","0","ANPAJ7OJQH3CZU674ERII","AmazonSSMDirectoryServiceAccess","3/15/19 12:44:38 PM"
"arn:aws:iam::aws:policy/AmazonECS_FullAccess","0","11/7/17 3:36:54 PM","v15",,"True","/","0","ANPAJ7S7AN6YQPTJC7IFS","AmazonECS_FullAccess","2/4/19 12:44:48 PM"
"arn:aws:iam::aws:policy/ServiceCatalogAdminReadOnlyAccess","0","9/29/15 1:40:35 PM","v5",,"True","/","0","ANPAJ7XOUSS75M4LIPKO4","ServiceCatalogAdminReadOnlyAccess","8/8/17 1:57:36 PM"
"arn:aws:iam::aws:policy/aws-service-role/AWSApplicationAutoscalingRDSClusterPolicy","0","10/17/17 12:46:56 PM","v3",,"True","/aws-service-role/","0","ANPAJ7XS52I27Q2JVKALU","AWSApplicationAutoscalingRDSClusterPolicy","8/7/18 2:14:24 PM"
"arn:aws:iam::aws:policy/aws-service-role/AWSServiceRoleForEC2ScheduledInstances","0","10/12/17 1:31:55 PM","v1",,"True","/aws-service-role/","0","ANPAJ7Y4TT63D6QBKCY4O","AWSServiceRoleForEC2ScheduledInstances","10/12/17 1:31:55 PM"
"arn:aws:iam::aws:policy/service-role/AWSCodeDeployRoleForLambda","0","11/28/17 8:05:44 AM","v2",,"True","/service-role/","0","ANPAJA3RQZIKNOSJ4ZQSA","AWSCodeDeployRoleForLambda","12/1/17 4:32:58 PM"
"arn:aws:iam::aws:policy/AWSFMAdminReadOnlyAccess","0","5/9/18 3:07:39 PM","v1",,"True","/","0","ANPAJA3UKVVBN62QFIKLW","AWSFMAdminReadOnlyAccess","5/9/18 3:07:39 PM"
"arn:aws:iam::aws:policy/AmazonSSMFullAccess","0","5/29/15 12:39:47 PM","v3",,"True","/","0","ANPAJA7V6HI4ISQFMDYAG","AmazonSSMFullAccess","7/23/18 5:53:18 PM"
"arn:aws:iam::aws:policy/AWSCodeCommitReadOnly","0","7/9/15 12:05:06 PM","v2",,"True","/","0","ANPAJACNSXR7Z2VLJW3D6","AWSCodeCommitReadOnly","11/20/17 2:01:56 PM"
"arn:aws:iam::aws:policy/AmazonEC2ContainerServiceFullAccess","0","4/24/15 11:54:35 AM","v4",,"True","/","0","ANPAJALOYVTPDZEMIACSM","AmazonEC2ContainerServiceFullAccess","6/7/17 7:18:56 PM"
"arn:aws:iam::aws:policy/AmazonFreeRTOSFullAccess","0","11/29/17 9:32:51 AM","v1",,"True","/","0","ANPAJAN6PSDCOH6HXG2SE","AmazonFreeRTOSFullAccess","11/29/17 9:32:51 AM"
"arn:aws:iam::aws:policy/service-role/AmazonTextractServiceRole","0","11/28/18 1:12:16 PM","v1",,"True","/service-role/","0","ANPAJBDSAWESWLL34WASG","AmazonTextractServiceRole","11/28/18 1:12:16 PM"
"arn:aws:iam::aws:policy/AmazonCognitoReadOnly","0","3/24/15 12:06:46 PM","v3",,"True","/","0","ANPAJBFTRZD2GQGJHSVQK","AmazonCognitoReadOnly","2/15/19 6:18:11 PM"
"arn:aws:iam::aws:policy/service-role/AmazonDMSCloudWatchLogsRole","0","1/7/16 5:44:53 PM","v1",,"True","/service-role/","0","ANPAJBG7UXZZXUJD3TDJE","AmazonDMSCloudWatchLogsRole","1/7/16 5:44:53 PM"
"arn:aws:iam::aws:policy/AWSApplicationDiscoveryServiceFullAccess","0","5/11/16 4:30:50 PM","v3",,"True","/","0","ANPAJBNJEA6ZXM2SBOPDU","AWSApplicationDiscoveryServiceFullAccess","8/16/18 11:02:27 AM"
"arn:aws:iam::aws:policy/AmazonRoute53AutoNamingReadOnlyAccess","0","1/17/18 9:02:59 PM","v1",,"True","/","0","ANPAJBPMV2EFBFFKJ6SI4","AmazonRoute53AutoNamingReadOnlyAccess","1/17/18 9:02:59 PM"
"arn:aws:iam::aws:policy/AWSSSOReadOnly","0","6/27/18 3:24:34 PM","v3",,"True","/","0","ANPAJBSMEEZXFDMKMY43I","AWSSSOReadOnly","12/19/18 2:17:58 PM"
"arn:aws:iam::aws:policy/AmazonVPCFullAccess","0","2/6/15 12:41:16 PM","v7",,"True","/","0","ANPAJBWPGNOVKZD3JI2P2","AmazonVPCFullAccess","3/15/18 1:30:25 PM"
"arn:aws:iam::aws:policy/AWSCertificateManagerPrivateCAUser","0","10/23/18 11:53:33 AM","v3",,"True","/","0","ANPAJBXCSJJULLMRWSNII","AWSCertificateManagerPrivateCAUser","3/14/19 12:17:02 PM"
"arn:aws:iam::aws:policy/AWSAppSyncAdministrator","0","3/20/18 4:20:28 PM","v1",,"True","/","0","ANPAJBYY36AJPXTTWIXCY","AWSAppSyncAdministrator","3/20/18 4:20:28 PM"
"arn:aws:iam::aws:policy/aws-service-role/AWSEC2FleetServiceRolePolicy","0","3/20/18 7:08:55 PM","v2",,"True","/aws-service-role/","0","ANPAJCL355O4TC27CPKVC","AWSEC2FleetServiceRolePolicy","4/19/18 4:37:07 PM"
"arn:aws:iam::aws:policy/AmazonRoute53AutoNamingFullAccess","0","1/18/18 12:40:41 PM","v1",,"True","/","0","ANPAJCNJBBLMJN2ZMV62Y","AmazonRoute53AutoNamingFullAccess","1/18/18 12:40:41 PM"
"arn:aws:iam::aws:policy/AWSImportExportFullAccess","0","2/6/15 12:40:43 PM","v1",,"True","/","0","ANPAJCQCT4JGTLC6722MQ","AWSImportExportFullAccess","2/6/15 12:40:43 PM"
